display_name,dist_to_maze,release_date,genre,rating
The Twilight Saga: New,0.04182150123597393,,,
Daybreakers,0.055518925901266725,2010-01-08,Horror,R
28 Weeks Later,0.06252055576070391,2007-05-11,Horror,R
The Conjuring,0.06904481056181878,2013-07-19,Horror,R
Underworld: Evolution,0.08190593264226159,2006-01-20,Action,R
1408,0.08955752024914117,,,
Insidious,0.09757612326969493,2011-04-01,Horror,R
The Hunger Games: Catc,0.11118696077567586,,,
Doomsday,0.1199930851631549,2008-03-14,Action,R
Resident Evil: Extinct,0.12868037180219352,,,
Twilight,0.15240552662829804,2008-11-21,Drama,PG-13
Limitless,0.16449277517162106,2011-03-18,Thriller/Suspense,PG-13
9,0.18915503393635794,,,
Resident Evil: Afterli,0.18950882211523365,,,
The Hunger Games: Mock,0.1904155652426129,,,
