week_friday,n_releases_this_week,n_releases_prev_week,n_competitors_considered,min_dist_char,avg_dist_char,closest_competitor_char,closest_competitor_char_dist
2014-01-03,1,0,1,6.211477251458082,6.211477251458082,Paranormal Activity: The Marked Ones,6.211477251458082
2014-01-10,1,1,2,4.264202533915587,5.237839892686835,The Legend of Hercules,4.264202533915587
2014-01-17,4,1,5,3.8073814538790884,4.626313915182047,Ride Along,3.8073814538790884
2014-01-24,1,4,5,3.8073814538790884,4.614759559667666,Ride Along,3.8073814538790884
2014-01-31,3,1,4,3.9999205217275517,4.73096975629343,Labor Day,3.9999205217275517
2014-02-07,4,3,7,3.9999205217275517,4.658009021343,Labor Day,3.9999205217275517
2014-02-14,3,4,7,3.997333572408825,4.545203286543786,Endless Love,3.997333572408825
2014-02-21,2,3,5,0.11141406831413148,3.6237049023207866,3 Days to Kill,0.11141406831413148
2014-02-28,2,2,4,0.11141406831413148,3.0908105975092623,3 Days to Kill,0.11141406831413148
2014-03-07,2,2,4,3.995090194669818,4.963282571072577,Son of God,3.995090194669818
2014-03-14,2,2,4,3.855751850543861,4.936342050828637,Tyler Perry's The Single Moms Club,3.855751850543861
2014-03-21,2,2,4,3.855751850543861,4.531822026915238,Tyler Perry's The Single Moms Club,3.855751850543861
2014-03-28,2,2,4,4.316641973822442,4.8797825999528355,Divergent,4.316641973822442
2014-04-04,1,2,3,4.369078336143679,5.024662325366893,Noah,4.369078336143679
2014-04-11,4,1,5,3.992370567465511,5.651066679829062,Draft Day,3.992370567465511
2014-04-18,3,4,7,1.2255547514554457,6.159395863077465,Transcendence,1.2255547514554457
2014-04-25,3,3,6,1.2255547514554457,5.52996187994079,Transcendence,1.2255547514554457
2014-05-02,1,3,4,3.805343239061301,4.647708667048597,The Other Woman,3.805343239061301
2014-05-09,3,1,4,4.803789236908123,5.272391888675938,Neighbors,4.803789236908123
2014-05-16,3,3,6,4.778794175303542,5.018681611678827,Godzilla,4.778794175303542
2014-05-23,2,3,5,4.778794175303542,5.186260379616321,Godzilla,4.778794175303542
2014-05-30,2,2,4,4.795887116289241,5.446985659724762,A Million Ways to Die in The West,4.795887116289241
2014-06-06,3,2,5,4.009735707755954,4.91295725719524,The Fault in Our Stars,4.009735707755954
2014-06-13,2,3,5,4.009735707755954,5.141845554530132,The Fault in Our Stars,4.009735707755954
2014-06-20,2,2,4,4.944026946206056,5.6747527442322365,Jersey Boys,4.944026946206056
2014-06-27,4,2,6,4.8016354028189,5.4055187585704765,Tammy,4.8016354028189
2014-07-11,1,0,1,5.65055921282981,5.65055921282981,Dawn of the Planet of the Apes,5.65055921282981
2014-07-18,3,1,4,4.068180992210761,5.133226964994902,The Purge: Anarchy,4.068180992210761
2014-07-25,3,3,6,3.8152974939727518,4.688284881299443,And So It Goes,3.8152974939727518
2014-08-01,2,3,5,3.8152974939727518,4.4295073410569,And So It Goes,3.8152974939727518
2014-08-08,5,2,7,0.29710418217101714,4.218221506546677,Into the Storm,0.29710418217101714
2014-08-15,2,5,7,0.29710418217101714,4.254993364770421,Into the Storm,0.29710418217101714
2014-08-22,4,2,6,2.940131258887343,4.516972368017251,The November Man,2.940131258887343
2014-08-29,2,4,6,2.940131258887343,4.319631456704373,The November Man,2.940131258887343
2014-09-05,1,2,3,2.9681441588525566,4.38635944144043,"As Above, So Below",2.9681441588525566
2014-09-12,2,1,3,0.3862354368223223,3.8096759466237295,No Good Deed,0.3862354368223223
2014-09-19,3,2,4,0.3862354368223223,4.033458082262401,No Good Deed,0.3862354368223223
2014-09-26,2,3,4,4.8016354028189,5.083992360178003,This is Where I Leave You,4.8016354028189
2014-10-03,3,2,5,0.3342422049423943,3.8571456101477777,Left Behind,0.3342422049423943
2014-10-10,5,3,8,0.3342422049423943,4.003570294313102,Left Behind,0.3342422049423943
2014-10-17,3,5,8,3.991636382342407,4.690720022307824,The Best of Me,3.991636382342407
2014-10-24,2,3,5,3.991636382342407,4.8361175621940875,The Best of Me,3.991636382342407
2014-10-31,2,2,4,2.9273791082797587,3.931926250066011,Before I Go to Sleep,2.9273791082797587
2014-11-07,1,2,3,2.9273791082797587,3.9118015316295285,Before I Go to Sleep,2.9273791082797587
2014-11-14,2,1,3,4.020256018103125,4.864343714850992,Beyond the Lights,4.020256018103125
2014-11-21,3,2,5,3.2665045500899623,4.577021219368114,The Hunger Games: Mockingjay - Part 1,3.2665045500899623
2014-12-05,1,0,1,5.556650863418289,5.556650863418289,The Pyramid,5.556650863418289
2014-12-12,2,1,3,4.448073519932031,4.938896465873156,Exodus: Gods and Kings,4.448073519932031
