week_friday,n_releases_this_week,n_releases_prev_week,n_competitors_considered,min_dist,avg_dist,p25_dist,closest_competitor,closest_competitor_dist
2014-01-10,1,0,1,0.4839312954441648,0.4839312954441648,0.4839312954441648,The Legend of Hercules,0.4839312954441648
2014-01-17,2,1,3,0.4839312954441648,0.4926822813744079,0.48977974357716136,The Legend of Hercules,0.4839312954441648
2014-01-24,1,2,3,0.39041021994139935,0.4615085895401528,0.4430192058257786,"I, Frankenstein",0.39041021994139935
2014-01-31,3,1,4,0.39041021994139935,0.5093738527077917,0.4649863745374184,"I, Frankenstein",0.39041021994139935
2014-02-07,4,3,7,0.3311917034771716,0.5202762793425603,0.4903457051457702,Vampire Academy,0.3311917034771716
2014-02-14,2,4,6,0.3311917034771716,0.49685152118328,0.4890304424304895,Vampire Academy,0.3311917034771716
2014-02-21,1,2,3,0.484930703565216,0.4969726920217565,0.493130181295763,About Last Night,0.484930703565216
2014-02-28,2,1,3,0.43103926543447196,0.48538490862349226,0.46784848945410773,Son of God,0.43103926543447196
2014-03-07,2,2,4,0.43103926543447196,0.48870438367640684,0.4804986468225002,Son of God,0.43103926543447196
2014-03-14,1,2,3,0.4969851072851763,0.5035503594562294,0.501660261154447,300: Rise of an Empire,0.4969851072851763
2014-03-21,2,1,3,0.19904392115408145,0.39836083736667877,0.343875978020121,Divergent,0.19904392115408145
2014-03-28,2,2,4,0.19904392115408145,0.3470688246288416,0.23513359263150455,Divergent,0.19904392115408145
2014-04-11,4,0,4,0.45349172527629594,0.4892088896770021,0.4781772541211953,Oculus,0.45349172527629594
2014-04-18,3,4,7,0.4430970212265178,0.4992599947496289,0.4690863850042797,A Haunted House 2,0.4430970212265178
2014-04-25,3,3,6,0.4430970212265178,0.4999648031111104,0.47045208468052885,A Haunted House 2,0.4430970212265178
2014-05-09,1,0,1,0.6178550960869451,0.6178550960869451,0.6178550960869451,Neighbors,0.6178550960869451
2014-05-16,2,1,3,0.49060897883945115,0.5713019667328805,0.5480254020558482,Million Dollar Arm,0.49060897883945115
2014-05-23,1,2,3,0.49060897883945115,0.5317401272036878,0.49488927816940914,Million Dollar Arm,0.49060897883945115
2014-05-30,1,1,2,0.4146369243808676,0.45690325094011736,0.43577008766049247,Maleficent,0.4146369243808676
2014-06-06,3,1,4,0.4146369243808676,0.6726944483302231,0.5638934621489122,Maleficent,0.4146369243808676
2014-06-13,1,3,4,0.5768184005728386,0.7132398173782158,0.6044388311969049,22 Jump Street,0.5768184005728386
2014-06-20,2,1,3,0.484930703565216,0.5267113870684018,0.5016578803161834,Think Like a Man Too,0.484930703565216
2014-06-27,3,2,5,0.41205726588342334,0.4825029124588223,0.484930703565216,Deliver Us from Evil,0.41205726588342334
2014-07-18,2,0,2,0.48521342216692365,0.5108591612384288,0.49803629170267627,The Purge: Anarchy,0.48521342216692365
2014-07-25,2,2,4,0.4836811207528887,0.5041374660357362,0.4848303468134149,Hercules,0.4836811207528887
2014-08-01,1,2,3,0.4836811207528887,0.4986314908321112,0.4923720257915676,Hercules,0.4836811207528887
2014-08-08,2,1,3,0.484930703565216,0.4944844228076173,0.49119516879630265,Into the Storm,0.484930703565216
2014-08-15,2,2,4,0.484930703565216,0.507521173442963,0.494327401411846,Into the Storm,0.484930703565216
2014-08-22,2,2,4,0.5062454828296892,0.5206841928988408,0.5108068395632175,The November Man,0.5062454828296892
2014-08-29,2,2,4,0.45821025661035797,0.569678376607907,0.49423667627485635,"As Above, So Below",0.45821025661035797
2014-09-12,1,0,1,0.4938271604938275,0.4938271604938275,0.4938271604938275,Dolphin Tale 2,0.4938271604938275
2014-09-19,1,1,1,0.4938271604938275,0.4938271604938275,0.4938271604938275,Dolphin Tale 2,0.4938271604938275
2014-09-26,2,1,2,0.43409807811952883,0.5052881780681312,0.46969312809383,The Boxtrolls,0.43409807811952883
2014-10-03,3,2,5,0.287502298230243,0.5055042782667873,0.43409807811952883,Left Behind,0.287502298230243
2014-10-10,2,3,5,0.287502298230243,0.48886499825690055,0.3974790679037225,Left Behind,0.287502298230243
2014-10-17,3,2,5,0.3974790679037225,0.5086808606882485,0.4966411650500795,Dracula Untold,0.3974790679037225
2014-10-24,2,3,5,0.451504285133574,0.5518309279840864,0.4966411650500795,Ouija,0.451504285133574
2014-10-31,2,2,4,0.451504285133574,0.5808945943609161,0.4538498201729033,Ouija,0.451504285133574
2014-11-07,1,2,3,0.45463166518601306,0.6508041528113108,0.5902240424388234,Before I Go to Sleep,0.45463166518601306
2014-11-14,2,1,3,0.4737115415257647,0.5778843465996705,0.4808443331213631,Beyond the Lights,0.4737115415257647
2014-11-21,2,2,4,0.4737115415257647,0.5051605504862842,0.48441072891916226,Beyond the Lights,0.4737115415257647
2014-12-05,1,0,1,0.484930703565216,0.484930703565216,0.484930703565216,The Pyramid,0.484930703565216
2014-12-12,2,1,3,0.25088543070470126,0.4088874839417887,0.3679080671349586,Exodus: Gods and Kings,0.25088543070470126
